City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,haiku-pauwela,20.9219,-156.3051,300.51,77,40,2.57,US,1698005239
263,pyapon,16.2833,95.6833,297.64,91,100,1.78,MM,1698005239
264,roma,43.2128,-75.4557,279.55,88,100,8.23,US,1698005240
265,lebu,-37.6167,-73.65,285.58,72,1,7.42,CL,1698005240
266,assab,13.0092,42.7394,301.9,74,10,8.57,ER,1698005240
267,college,64.8569,-147.8028,268.19,83,75,2.06,US,1698005228
268,soba,10.9813,8.0575,298.03,28,22,2.95,NG,1698005240
269,san pedro pochutla,15.7333,-96.4667,304.99,47,52,3.09,MX,1698005241
270,port moresby,-9.4431,147.1797,296.5,86,92,2.39,PG,1698005241
271,vila franca do campo,37.7167,-25.4333,291.42,99,84,4.44,PT,1698005241
272,dampit,-8.2116,112.7493,294.27,88,54,0.73,ID,1698005241
273,tolanaro,-25.0319,46.9987,296.55,93,22,0.5,MG,1698005241
274,egilsstadir,65.2653,-14.3948,276.04,99,100,3.81,IS,1698005241
275,port alfred,-33.5906,26.891,289.11,68,74,7.29,ZA,1698004958
276,ketchikan,55.3422,-131.6461,280.41,61,0,7.72,US,1698005242
277,magong,23.5654,119.5863,298.48,79,100,9.51,TW,1698005242
278,berezovyy,51.6667,135.7,272.07,60,1,3.06,RU,1698005242
279,kourou,5.1552,-52.6478,304.18,75,97,5.59,GF,1698005242
280,weligama,5.9667,80.4167,298.03,88,100,0.97,LK,1698005242
281,tevriz,57.509,72.4042,272.28,67,100,4.75,RU,1698005242
282,warren,39.4334,-84.1666,289.01,55,0,4.63,US,1698005243
283,puerto san jose,13.9256,-90.8244,301.98,73,100,3.08,GT,1698005243
284,balikpapan,-1.2675,116.8289,297.7,94,75,1.03,ID,1698005243
285,uturoa,-16.7333,-151.4333,299.81,80,6,6.07,PF,1698005243
286,enniscorthy,52.5008,-6.5578,286.19,100,100,2.21,IE,1698005243
287,miranda do corvo,40.0932,-8.3326,288.51,70,100,0.7,PT,1698005119
288,flying fish cove,-10.4217,105.6791,295.97,94,40,1.54,CX,1698005244
289,sibut,5.718,19.0739,296.46,93,99,0.53,CF,1698005244
290,namsos,64.4662,11.4957,278.18,70,100,7.72,NO,1698005244
291,port isabel,26.0734,-97.2086,305.41,64,100,4.92,US,1698005244
292,ust'-ilimsk,58.0006,102.6619,272.22,81,100,2.62,RU,1698005244
293,sandnessjoen,66.0217,12.6316,279.21,45,0,3.6,NO,1698005244
294,sungailiat,-1.85,106.1333,299.74,79,97,0.76,ID,1698005245
295,valdivia,-39.8142,-73.2459,292.91,38,0,1.32,CL,1698005245
296,corinto,37.9407,22.9573,295.42,65,48,0.37,GR,1698005245
297,karratha,-20.7377,116.8463,300.94,39,63,5.56,AU,1698005245
298,whangarei,-35.7317,174.3239,289.07,79,73,1.95,NZ,1698005052
299,sao jose da coroa grande,-8.8978,-35.1478,298.91,74,85,4.09,BR,1698005245
300,kavaratti,10.5669,72.642,301.67,71,88,2.09,IN,1698005245
301,chokwe,-24.5333,32.9833,294.8,72,98,6.8,MZ,1698005246
302,viedma,-40.8135,-62.9967,288.41,55,100,7.24,AR,1698005246
303,hauterive,46.0901,3.4459,284.81,70,87,1.51,FR,1698005246
304,peranampattu,12.9333,78.7167,295.49,86,87,0.72,IN,1698005246
305,stephenville,32.2207,-98.2023,303.24,41,0,4.63,US,1698005246
306,turkeli,41.9476,34.3386,295.7,51,100,1.94,TR,1698005246
307,sanya,18.2431,109.505,299.24,83,40,1.0,CN,1698005059
308,ad dawadimi,24.5077,44.3924,298.79,25,6,4.83,SA,1698005247
309,zhumadian,32.9794,114.0294,288.41,63,0,1.87,CN,1698005247
310,caleta de carquin,-11.0925,-77.6267,295.15,79,55,4.75,PE,1698005247
311,venezuela,8.0,-66.0,300.01,76,100,2.25,VE,1698005101
312,tidjikja,18.5564,-11.4271,303.87,27,30,5.52,MR,1698005248
313,niafunke,15.9322,-3.9906,308.61,19,24,2.2,ML,1698005248
314,jacksonville,30.3322,-81.6556,304.31,40,75,4.12,US,1698005079
315,crane,31.3974,-102.3501,301.54,37,100,7.78,US,1698005248
316,smithers,54.7804,-127.1743,275.33,93,75,2.57,CA,1698005248
317,qamdo,31.1667,97.2333,269.75,62,12,1.04,CN,1698005248
318,san luis de la loma,17.2706,-100.8939,301.41,81,60,2.13,MX,1698005249
319,leh,34.1667,77.5833,275.99,41,95,1.6,IN,1698005249
320,rio claro,-22.4114,-47.5614,305.59,44,7,2.64,BR,1698005249
321,kathua,32.3667,75.5167,292.26,50,0,1.88,IN,1698005249
322,khorixas,-20.3667,14.9667,292.59,33,0,3.63,NA,1698005249
323,laguna,38.421,-121.4238,295.97,70,100,4.63,US,1698005249
324,kuqa,41.7278,82.9364,285.75,30,50,1.7,CN,1698005250
325,ghat,24.9647,10.1728,303.59,13,64,1.8,LY,1698005250
326,inarajan village,13.2736,144.7484,301.23,91,88,8.4,GU,1698005250
327,curaca,-8.9903,-39.9094,308.24,22,52,3.21,BR,1698004990
328,aldinga beach,-35.2793,138.4604,282.41,86,0,2.85,AU,1698005250
329,scottsbluff,41.8666,-103.6672,296.77,33,0,1.54,US,1698005251
330,vila velha,-20.3297,-40.2925,296.12,78,100,2.06,BR,1698004985
331,gadzhiyevo,69.2551,33.3362,273.18,74,98,7.6,RU,1698005251
332,reggane,26.7158,0.1714,303.52,22,0,1.27,DZ,1698005251
333,birobidzhan,48.8,132.95,272.71,61,0,2.66,RU,1698005251
334,yemetsk,63.4721,41.7941,271.13,89,92,2.93,RU,1698005251
335,cambebba,-3.6209,-38.8291,301.91,74,67,5.75,BR,1698005251
336,pindiga,9.9833,10.9333,300.64,22,29,2.09,NG,1698005252
337,yasnyy,51.0333,59.8742,271.95,77,13,5.04,RU,1698005252
338,lima,-12.0432,-77.0282,293.29,78,75,3.6,PE,1698005252
339,bocas del toro,9.3333,-82.25,298.77,77,100,2.24,PA,1698005252
340,mount pearl,47.5166,-52.7813,287.67,90,100,12.86,CA,1698005252
341,boyolangu,-8.1181,111.8935,295.64,90,28,0.88,ID,1698005252
342,farasan,16.7022,42.1183,303.48,67,10,0.57,SA,1698005253
343,broome,42.2506,-75.833,280.21,89,100,6.17,US,1698005253
344,lompoc,34.6391,-120.4579,299.14,74,75,5.14,US,1698005227
345,portland,45.5234,-122.6762,290.69,92,100,3.09,US,1698005198
346,santa maria del oro,25.9333,-105.3667,296.09,36,100,1.17,MX,1698005253
347,port hueneme,34.1478,-119.1951,301.18,66,0,4.12,US,1698005253
348,east ballina,-28.8667,153.5833,292.48,86,4,3.07,AU,1698005253
349,bardsir,29.9227,56.5743,287.72,27,69,0.83,IR,1698005254
350,lautoka,-17.6167,177.4667,300.07,74,75,4.12,FJ,1698005254
351,queenstown,-31.8976,26.8753,282.18,89,100,3.33,ZA,1698005254
352,mandalgovi,45.7625,106.2708,277.12,36,35,4.47,MN,1698005254
353,el eulma,36.1528,5.6902,289.4,36,15,3.28,DZ,1698005254
354,jimenez,28.3333,-105.4,300.17,24,100,4.26,MX,1698005254
355,buala,-8.145,159.5921,300.07,83,89,1.67,SB,1698005255
356,colby,39.3958,-101.0524,294.26,37,0,3.13,US,1698005255
357,praia da vitoria,38.7333,-27.0667,291.35,80,69,6.68,PT,1698005255
358,dolores,-36.3132,-57.6792,294.79,73,99,3.42,AR,1698005255
359,kikwit,-5.041,18.8162,297.5,83,99,0.8,CD,1698005255
360,barentu,15.1139,37.5928,300.95,41,90,1.68,ER,1698005255
361,caxito,-8.5785,13.6643,298.37,80,43,1.84,AO,1698005255
